Date,Fundamental Long-Biased Equity,Fundamental Market Neutral Equity,Fundamental Credit,Structured Credit,Diversified Multi-Strategy,Opportunistic MS,Global Macro,Quantitative
1/1/1994,0.035999942,-0.04459817,,,0.02010423,,,
2/1/1994,-0.046220801,0.051252388,,,-0.011536016,,,
3/1/1994,-0.059264299,0.057678943,,,-0.077342064,,,
4/1/1994,-0.029371579,0.029263829,,,-0.043255133,,,
5/1/1994,-0.000613298,0.010594219,,,0.002977983,,,
6/1/1994,-0.020989188,0.032252233,,,0.006296794,,,
7/1/1994,0.005023249,-0.024195162,,,-0.004162665,,,
8/1/1994,0.056361678,-0.064801798,,,0.008902926,,,
9/1/1994,0.031472238,-0.009584259,,,-0.001797617,,,
10/1/1994,-0.005980691,-0.007071914,,,-0.016931646,,,
11/1/1994,-0.021022328,0.017997538,,,-0.002452706,,,
12/1/1994,-0.009848373,0.011068173,,,-0.011821985,,,
1/1/1995,0.043329189,0.020918002,,,0.015445042,,,
2/1/1995,0.027198211,-0.022653387,,,0.014955036,,,
3/1/1995,0.023425082,-0.014937308,,,0.014754414,,,
4/1/1995,0.032793882,0.000755975,,,0.010612741,,,
5/1/1995,0.033911065,-0.002442479,,,0.007639077,,,
6/1/1995,0.023602224,-0.060279958,,,0.026507052,,,
7/1/1995,0.020693342,-0.044966368,,,0.021232331,,,
8/1/1995,0.053865113,0.026166406,,,0.016490586,,,
9/1/1995,0.022931608,-0.003675751,,,0.025267984,,,
10/1/1995,-0.017867896,0.054459694,,,0.000704275,,,
11/1/1995,0.008003522,-0.019317597,,,0.017218518,,,
12/1/1995,0.053799177,0.03847224,,,0.023208097,,,
1/1/1996,0.046410163,0.008280446,,,0.027195423,0.017234029,,
2/1/1996,0.020041545,-0.026787483,,,0.007634062,0.014202001,,
3/1/1996,0.020690489,0.007603886,,,0.022690681,0.019031753,,
4/1/1996,0.038060535,-0.047909361,,,0.015177265,0.031214841,,
5/1/1996,0.025483991,0.000441605,,,0.012073499,0.013289289,,
6/1/1996,0.000521901,0.03806227,,,0.009372392,0.01820919,,
