PeerShortName,VolExSystematic,BetaToArb,Excess_90th,Excess_75th,Excess_50th,Excess_25th,Excess_10th
Generalist L/S Eqty,0.02,-0.05,0.12,0.035,0.0075,-0.03,-0.09
Multi-PM,0.02,0,0.12,0.055,0.03,-0.01,-0.03
Macro,0.02,0.02,0.15,0.05,0.03,-0.03,-0.07
Div Multi-Strat,0.02,-0.06,0.12,0.055,0.03,-0.01,-0.03
Quant,0.03,-0.17,0.12,0.055,0.03,0,-0.05
Relative Value,0.02,-0.12,0.09,0.035,0.02,0,-0.05
Cross Cap,0.02,0,0.07,0.015,0,-0.03,-0.07
Fdmtl Credit,0.012,0.06,0.07,0.015,0,-0.03,-0.06
Structured Credit,0.017,0.17,0.07,0.03,0,-0.03,-0.06
L/S Credit,0.012,0.11,0.07,0.015,0,-0.03,-0.06
Europe Credit,0.012,0.06,0.07,0.015,0,-0.03,-0.06
Consumer,0.023,-0.05,0.13,0.035,0.02,-0.03,-0.09
Energy,0.023,-0.05,0.13,0.035,0.02,-0.03,-0.09
Financials,0.023,-0.04,0.13,0.035,0.02,-0.03,-0.09
Healthcare,0.023,-0.06,0.13,0.035,0.02,-0.03,-0.09
TMT,0.023,-0.04,0.11,0.035,0.02,-0.05,-0.09
Asia Equity,0.023,-0.04,0.13,0.045,0.03,-0.02,-0.09
China,0.023,-0.04,0.13,0.045,0.03,-0.02,-0.09
Europe Eqty,0.023,-0.06,0.13,0.035,0.02,-0.03,-0.09
