Category,description,Ticker,Transformation,Unit_Mul100,Unit_in_prct,family,format
Commodities,Brent Crude Oil,CO1 Comdty,geometric,FALSE,TRUE,,FALSE
Commodities,Corn,C 1 Comdty,geometric,FALSE,TRUE,,FALSE
Commodities,Gold,GOLDS Comdty,geometric,FALSE,TRUE,,FALSE
Commodities,GSCI Commodity Index,SPGSCITR Index,geometric,FALSE,TRUE,,FALSE
Commodities,Natural Gas,NG1 Comdty,geometric,FALSE,TRUE,,FALSE
Commodities,WTI Crude Oil,CLA COMDTY,geometric,FALSE,TRUE,,FALSE
Commodities,Copper,LP1 Comdty,geometric,FALSE,TRUE,,FALSE
Credit_bps,HY OAS Trigger,SPHY US Equity,arithmetic,TRUE,FALSE,,FALSE
Credit_bps,European High-Yield Bond Index,ITRX XOVER CDSI GEN 5Y Corp,arithmetic,TRUE,FALSE,,FALSE
Credit_Percent,Invesco Senior Loan ETF,BKLN US Equity,geometric,FALSE,TRUE,,FALSE
Credit_Percent,Merrill Lynch US High Yield Corporate Master Index,H0A0 Index,geometric,FALSE,TRUE,,FALSE
Credit_Percent,BBG US IG TR Index,LUACTRUU Index,geometric,FALSE,TRUE,,FALSE
Credit_Percent,BBG US HY TR Index,LF98TRUU Index,geometric,FALSE,TRUE,,FALSE
Credit_Percent,S&P/LSTA LL TR Index,SPBDALB Index,geometric,FALSE,TRUE,,FALSE
Credit_Percent,BBG Barclays US Agg,LBUSTRUU Index,geometric,FALSE,TRUE,,FALSE
Currencies,AUD/USD,AUDUSD Curncy,geometric,FALSE,TRUE,,FALSE
Currencies,CAD/USD,CADUSD Curncy,geometric,FALSE,TRUE,,FALSE
Currencies,CHF/USD,CHFUSD Curncy,geometric,FALSE,TRUE,,FALSE
Currencies,DXY,DXY Curncy,geometric,FALSE,TRUE,,FALSE
Currencies,EUR/USD,EURUSD Curncy,geometric,FALSE,TRUE,,FALSE
Currencies,GBP/USD,GBPUSD Curncy,geometric,FALSE,TRUE,,FALSE
Currencies,USD/CNY,USDCNY Curncy,geometric,FALSE,TRUE,,FALSE
