CountryOfExposure,CountryName,RegionMarket,Region,EMDM
ABW,Aruba,Americas EM,South/Latin America,Emerging Markets
AFG,Afghanistan,Asia ex Japan,Asia & Pacific,Emerging Markets
AGO,Angola,Africa,Africa,Emerging Markets
AIA,Anguilla,Americas EM,South/Latin America,Emerging Markets
ALB,Albania,Europe EM,Europe,Emerging Markets
AND,Andorra,Europe EM,Europe,Emerging Markets
ANT,Netherlands Antilles,Americas EM,South/Latin America,Emerging Markets
ARE,UAE,Middle East,Middle east,Emerging Markets
ARG,Argentina,Americas EM,South/Latin America,Emerging Markets
ARM,Armenia,Europe EM,Europe,Emerging Markets
ASM,American Samoa,Asia ex Japan,Asia & Pacific,Emerging Markets
ATA,Antarctica,Asia ex Japan,Asia & Pacific,Emerging Markets
ATF,French Southern Territories,Asia ex Japan,Asia & Pacific,Emerging Markets
ATG,Antigua and Barbuda,Americas EM,South/Latin America,Emerging Markets
AUS,Australia,Asia ex Japan,Asia & Pacific,Developed Markets
AUT,Austria,Europe DM,Europe,Developed Markets
AZE,Azerbaijan,Asia ex Japan,Asia & Pacific,Emerging Markets
BDI,Burundi,Africa,Africa,Emerging Markets
BEL,Belgium,Europe DM,Europe,Developed Markets
BEN,Benin,Africa,Africa,Emerging Markets
BFA,Burkina Faso,Africa,Africa,Emerging Markets
BGD,Bangladesh,Asia ex Japan,Asia & Pacific,Emerging Markets
BGR,Bulgaria,Europe EM,Europe,Emerging Markets
BHR,Bahrain,Other EM,Arab States,Emerging Markets
BHS,Bahamas,Americas EM,South/Latin America,Emerging Markets
BIH,Bosnia and Herzegovina,Europe EM,Europe,Emerging Markets
BLR,Belarus,Europe EM,Europe,Emerging Markets
BLZ,Belize,Americas EM,South/Latin America,Emerging Markets
BMU,Bermuda,Americas EM,North America,Emerging Markets
BOL,Bolivia,Americas EM,South/Latin America,Emerging Markets
BRA,Brazil,Americas EM,South/Latin America,Emerging Markets
BRB,Barbados,Americas EM,South/Latin America,Emerging Markets
BRN,Brunei Darussalam,Asia ex Japan,Asia & Pacific,Emerging Markets
BTN,Bhutan,Asia ex Japan,Asia & Pacific,Emerging Markets
BVT,Bouvet Isand,Other EM,Other,Emerging Markets
BWA,Botswana,Africa,Africa,Emerging Markets
CAF,Central African Republic,Africa,Africa,Emerging Markets
CAN,Canada,Americas DM,North America,Developed Markets
CCK,Cocos (Keeling) Islands,Asia ex Japan,Asia & Pacific,Emerging Markets
CHE,Switzerland,Europe DM,Europe,Developed Markets
CHL,Chile,Americas EM,South/Latin America,Emerging Markets
CHN,China,Asia ex Japan,Asia & Pacific,Emerging Markets
CHX,China International,Asia ex Japan,Asia & Pacific,Emerging Markets
CIV,Cote D'Ivoire,Africa,Africa,Emerging Markets
CMR,Cameroon,Africa,Africa,Emerging Markets
COD,"Congo, Democratic Republic of",Africa,Africa,Emerging Markets
COG,Congo,Africa,Africa,Emerging Markets
COK,Cook Islands,Asia ex Japan,Asia & Pacific,Emerging Markets
COL,Colombia,Americas EM,South/Latin America,Emerging Markets
COM,Comoros,Other EM,Arab States,Emerging Markets
CPV,Cape Verde,Africa,Africa,Emerging Markets
CRI,Costa Rica,Americas EM,South/Latin America,Emerging Markets
CUB,Cuba,Americas EM,South/Latin America,Emerging Markets
CXR,Christmas Island,Asia ex Japan,Asia & Pacific,Emerging Markets
CYM,Cayman Islands,Americas EM,South/Latin America,Emerging Markets
CYP,Cyprus,Europe EM,Europe,Emerging Markets
CZE,Czech Republic,Europe EM,Europe,Emerging Markets
DEU,Germany,Europe DM,Europe,Developed Markets
DJI,Djibouti,Other EM,Arab States,Emerging Markets
DMA,Dominica,Americas EM,South/Latin America,Emerging Markets
DNK,Denmark,Europe DM,Europe,Developed Markets
DOM,Dominican Republic,Americas EM,South/Latin America,Emerging Markets
DZA,Algeria,Other EM,Arab States,Emerging Markets
ECU,Ecuador,Americas EM,South/Latin America,Emerging Markets
EGY,Egypt,Middle East,Middle east,Emerging Markets
EMU,European Monetary Union,Europe DM,Europe,Developed Markets
ERI,Eritrea,Africa,Africa,Emerging Markets
ESH,Western Sahara,Africa,Africa,Emerging Markets
ESP,Spain,Europe DM,Europe,Developed Markets
EST,Estonia,Europe EM,Europe,Emerging Markets
ETH,Ethiopia,Africa,Africa,Emerging Markets
FIN,Finland,Europe DM,Europe,Developed Markets
FJI,Fiji,Asia ex Japan,Asia & Pacific,Emerging Markets
FLK,Falkland Islands,Americas EM,South/Latin America,Emerging Markets
FRA,France,Europe DM,Europe,Developed Markets
FRO,Faroe Islands,Europe EM,Europe,Emerging Markets
FSM,Micronesia,Asia ex Japan,Asia & Pacific,Emerging Markets
GAB,Gabon,Africa,Africa,Emerging Markets
GBR,United Kingdom,Europe DM,Europe,Developed Markets
GEO,Georgia,Europe EM,Europe,Emerging Markets
GHA,Ghana,Africa,Africa,Emerging Markets
GIB,Gibraltar,Europe EM,Europe,Emerging Markets
GIN,Guinea,Africa,Africa,Emerging Markets
GLP,Guadeloupe,Americas EM,South/Latin America,Emerging Markets
GMB,Gambia,Africa,Africa,Emerging Markets
GNB,Guinea-Bissau,Africa,Africa,Emerging Markets
GNQ,Equatorial Guinea,Africa,Africa,Emerging Markets
GRD,Grenada,Americas EM,South/Latin America,Emerging Markets
GRL,Greenland,Europe DM,Europe,Developed Markets
GUF,French Guiana,Americas EM,South/Latin America,Emerging Markets
GUM,Guam,Asia ex Japan,Asia & Pacific,Emerging Markets
GUY,Guyana,Americas EM,South/Latin America,Emerging Markets
HKG,Hong Kong,Asia ex Japan,Asia & Pacific,Developed Markets
HMD,Heard and McDonald Islands,Other EM,Other,Emerging Markets
HND,Honduras,Americas EM,South/Latin America,Emerging Markets
HRV,Croatia,Europe EM,Europe,Emerging Markets
HTI,Haiti,Americas EM,South/Latin America,Emerging Markets
HUN,Hungary,Europe EM,Europe,Emerging Markets
IDN,Indonesia,Asia ex Japan,Asia & Pacific,Emerging Markets
IND,India,Asia ex Japan,Asia & Pacific,Emerging Markets
IOT,British Indian Ocean Territory,Asia ex Japan,Asia & Pacific,Emerging Markets
IRL,Ireland,Europe DM,Europe,Developed Markets
IRN,Iran,Middle East,Middle east,Emerging Markets
IRQ,Iraq,Middle East,Middle east,Emerging Markets
ISL,Iceland,Europe EM,Europe,Emerging Markets
ISR,Israel,Europe DM,Europe,Developed Markets
ITA,Italy,Europe DM,Europe,Developed Markets
JAM,Jamaica,Americas EM,South/Latin America,Emerging Markets
JEY,Jersey,Europe EM,Europe,Emerging Markets
JOR,Jordan,Middle East,Middle east,Emerging Markets
JPN,Japan,Japan,Japan,Developed Markets
KAZ,Kazakhstan,Asia ex Japan,Asia & Pacific,Emerging Markets
KEN,Kenya,Africa,Africa,Emerging Markets
KGZ,Kyrgyzstan,Asia ex Japan,Asia & Pacific,Emerging Markets
KHM,Cambodia,Asia ex Japan,Asia & Pacific,Emerging Markets
KIR,Kiribati,Asia ex Japan,Asia & Pacific,Emerging Markets
KNA,Saint Kitts and Nevis,Americas EM,South/Latin America,Emerging Markets
KOR,Korea,Asia ex Japan,Asia & Pacific,Emerging Markets
KWT,Kuwait,Middle East,Middle east,Emerging Markets
LAO,Laos,Asia ex Japan,Asia & Pacific,Emerging Markets
LBN,Lebanon,Middle East,Middle east,Emerging Markets
LBR,Liberia,Africa,Africa,Emerging Markets
LBY,Libya,Middle East,Middle east,Emerging Markets
LCA,Saint Lucia,Americas EM,South/Latin America,Emerging Markets
LIE,Liechtenstein,Europe EM,Europe,Emerging Markets
LKA,Sri Lanka,Asia ex Japan,Asia & Pacific,Emerging Markets
LSO,Lesotho,Africa,Africa,Emerging Markets
LTU,Lithuania,Europe EM,Europe,Emerging Markets
LUX,Luxembourg,Europe DM,Europe,Developed Markets
LVA,Latvia,Europe EM,Europe,Emerging Markets
MAC,Macao,Other EM,Other,Emerging Markets
MAR,Morocco,Other EM,Arab States,Emerging Markets
MCO,Monaco,Europe EM,Europe,Emerging Markets
MDA,Moldova,Europe EM,Europe,Emerging Markets
MDG,Madagascar,Africa,Africa,Emerging Markets
MDV,Maldives,Asia ex Japan,Asia & Pacific,Emerging Markets
MEX,Mexico,Americas EM,South/Latin America,Emerging Markets
MHL,Marshall Islands,Asia ex Japan,Asia & Pacific,Emerging Markets
MKD,Macedonia,Europe EM,Europe,Emerging Markets
MLI,Mali,Africa,Africa,Emerging Markets
MLT,Malta,Europe EM,Europe,Emerging Markets
MMR,Myanmar,Asia ex Japan,Asia & Pacific,Emerging Markets
MNE,Montenegro,Europe EM,Europe,Emerging Markets
MNG,Mongolia,Asia ex Japan,Asia & Pacific,Emerging Markets
MNP,Northern Mariana Islands,Asia ex Japan,Asia & Pacific,Emerging Markets
MOZ,Mozambique,Africa,Africa,Emerging Markets
MRT,Mauritania,Other EM,Arab States,Emerging Markets
MSR,Montserrat,Americas EM,South/Latin America,Emerging Markets
